ISO3,Year,Categoria,PIB,PIB per capital,System
BIH,2017,Indefinido,18326373366.110527,5345.01985489192,Bosnia and Herzegovina
BLR,2010,Indefinido,57231904542.87547,,Belarus
BLR,2011,Indefinido,61762382327.93193,,Belarus
BLR,2017,Indefinido,54725405751.15585,,Belarus
BRA,2010,Indefinido,2208837745100.547,11403.2821278747,Brazil
BRA,2011,Indefinido,2616156223917.687,13396.6243562986,Brazil
BRA,2012,Indefinido,2465227802806.762,12521.7213519966,Brazil
BRA,2013,Indefinido,2472819535557.2056,12458.8912138813,Brazil
BRA,2014,Indefinido,2456043727198.8545,12274.9939689363,Brazil
BRA,2015,Indefinido,1802212206814.504,8936.19661712113,Brazil
BRA,2016,Indefinido,1795693482853.0127,8836.28652735657,Brazil
BRA,2017,Indefinido,2063514977365.6548,10080.5092819305,Brazil
BRB,2015,Indefinido,5288057750.0,18954.2913724506,Barbados
BRB,2016,Indefinido,5330761500.0,19065.8069800213,Barbados
BRB,2017,Indefinido,5517340450.0,19692.7606711615,Barbados
CAN,2010,Indefinido,1617343367486.2583,47560.6666009406,Canada
CAN,2011,Indefinido,1793326630174.5186,52223.8588398531,Canada
CAN,2012,Indefinido,1828366481521.5952,52670.3447335415,Canada
CAN,2013,Indefinido,1846597421834.9832,52638.1187235237,Canada
CAN,2014,Indefinido,1805749878439.9412,50960.8431174661,Canada
CAN,2015,Indefinido,1556508816217.14,43594.1941045394,Canada
CAN,2016,Indefinido,1527994741907.425,42314.0615817218,Canada
CAN,2017,Indefinido,1649265644244.095,45129.628116623,Canada
CAN,2018,Indefinido,1725329192783.024,46539.1761570405,Canada
CHL,2010,Indefinido,217051209238.53412,12632.8704724192,Chile
CHL,2011,Indefinido,251382573893.86972,14487.3927832032,Chile
CHL,2012,Indefinido,267024782486.8547,15241.9069981119,Chile
CHL,2013,Indefinido,277395018842.4165,15683.5486369155,Chile
CHL,2014,Indefinido,259560978224.3589,14529.6767206336,Chile
COL,2010,Indefinido,286498534094.96326,6398.2958447102,Colombia
COL,2011,Indefinido,334966134804.887,7400.9940695669,Colombia
COL,2012,Indefinido,370691143018.0392,8108.59838244229,Colombia
COL,2013,Indefinido,382093697077.68494,8279.10255642981,Colombia
COL,2014,Indefinido,381240864422.4066,8187.20824890084,Colombia
COL,2015,Indefinido,293492370193.1661,6248.51490534512,Colombia
COL,2016,Indefinido,282720100286.22815,5959.84250367574,Colombia
CRI,2016,Indefinido,58847019609.74302,12091.0301606335,Costa Rica
CRI,2017,Indefinido,60516044656.52976,12317.0902771322,Costa Rica
CYM,2015,Indefinido,4708167232.668931,,Cayman Islands
CYM,2016,Indefinido,4909322237.288949,,Cayman Islands
DOM,2010,Indefinido,53801053352.5005,5478.62470398954,Dominican Republic
DOM,2011,Indefinido,57948261615.957016,5826.51014109195,Dominican Republic
DOM,2012,Indefinido,60561635555.63829,6013.81965002603,Dominican Republic
DOM,2013,Indefinido,62555417414.58201,6136.59429329301,Dominican Republic
DOM,2014,Indefinido,67014329099.55489,6496.45166971142,Dominican Republic
DOM,2015,Indefinido,70966782572.4386,6800.95309395474,Dominican Republic
DOM,2016,Indefinido,75552902635.70749,7160.44200982307,Dominican Republic
ECU,2010,Indefinido,68151329000.0,4520.30959039763,Ecuador
ECU,2011,Indefinido,78986648000.0,5153.6916424375,Ecuador
ECU,2012,Indefinido,87735048000.0,5634.08393191094,Ecuador
EGY,2014,Indefinido,305595408895.26544,,Egypt
EGY,2015,Indefinido,329366576819.407,,Egypt
EGY,2016,Indefinido,332441717791.411,,Egypt
EGY,2017,Indefinido,248362771739.13043,,Egypt
