ISO3,Year,Promedio_Pasajeros_Internacionales,Promedio_Pasajeros_Nacionales
HUN,2013,703.4170833333334,0.16617753623188405
HUN,2014,754.5574166666667,0.15625
HUN,2015,852.3626666666665,0.08657142857142858
HUN,2016,971.6809166666667,0.024803571428571425
HUN,2017,1112.4994166666668,0.0057708333333333335
HUN,2018,1264.7038333333333,0.007020833333333334
IND,2014,,
IND,2015,,
IND,2016,,
IND,2017,,
IRL,2010,1894.5161666666665,30.001333333333335
IRL,2011,1937.41475,9.492666666666667
IRL,2012,1961.7024166666667,4.471666666666667
IRL,2013,2045.5465833333335,4.75675
IRL,2014,2187.434083333333,5.1347499999999995
IRL,2015,2456.1556666666665,5.929333333333333
IRL,2016,2709.4934166666667,6.815666666666666
IRL,2017,2848.732,7.248916666666666
IRL,2018,3020.517333333333,8.233083333333333
ISL,2010,169.69633333333334,
ISL,2011,205.2411666666667,
ISL,2012,228.3909166666667,
ISL,2013,266.6055,
ISL,2014,321.13449999999995,
ISL,2015,403.9406666666667,
ISL,2016,566.8178333333334,
ISL,2017,692.7941666666667,0.6505
ISL,2018,816.8200833333334,30.37875
ISR,2014,,
ISR,2015,,
ISR,2016,,
ISR,2017,,
ITA,2010,6593.7539166666675,2494.9921666666664
ITA,2011,7024.898916666666,2660.6566666666668
ITA,2012,7141.0914999999995,2528.0241666666666
ITA,2013,7237.965916666667,2368.0279166666664
ITA,2014,7665.713500000001,2431.3354166666663
ITA,2015,8167.381166666666,2471.3872499999998
ITA,2016,8683.821083333334,2522.6606666666667
ITA,2017,9432.142666666667,2593.3844166666668
ITA,2018,10104.120666666668,2681.8753333333334
JAM,2016,,
JAM,2017,,
JPN,2014,,
JPN,2015,,
JPN,2016,,
JPN,2017,,
KHM,2014,,
KHM,2015,,
KHM,2016,,
KHM,2017,,
KOR,2014,,
KOR,2015,,
KOR,2016,,
KOR,2017,,
KOS,2010,,
KOS,2011,,
KOS,2012,,
KOS,2013,,
KOS,2014,,
KOS,2015,,
KOS,2016,,
KOS,2017,,
LCA,2015,,
LCA,2016,,
LCA,2017,,
LTU,2010,190.21783333333335,0.031125
LTU,2011,224.33041666666668,0.003833333333333333
LTU,2012,263.87641666666667,0.017499999999999998
LTU,2013,290.18416666666667,0.014458333333333332
LTU,2014,316.48883333333333,0.05195833333333333
LTU,2015,352.2538333333334,0.034833333333333334
LTU,2016,398.9318333333333,0.03870833333333334
LTU,2017,437.17316666666665,0.009166666666666667
LTU,2018,521.1499166666666,0.049374999999999995
LUX,2010,134.39783333333332,0.10304166666666666
LUX,2011,153.01783333333333,0.10545833333333333
LUX,2012,157.7645,0.093375
LUX,2013,180.64858333333333,0.13179166666666667
LUX,2014,202.77966666666666,0.06879166666666667
LUX,2015,220.89916666666667,0.11375
LUX,2016,248.63083333333336,0.08041666666666668
LUX,2017,296.1359166666667,0.11154166666666666
LUX,2018,332.33725,0.10020833333333333
LVA,2010,387.96700000000004,0.036500000000000005
LVA,2011,424.8285,0.051833333333333335
LVA,2012,396.1831666666667,0.05325
